noise_ratio,accuracy
0.0,99.39
0.1,96.22
0.2,79.38
0.3,35.480000000000004
0.4,2.8000000000000003
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
